,Borough,2010 Census Tract Number:,Total Low-Income Units:
642,BROOKLYN,403.0,5.0
643,BROOKLYN,403.0,5.0
644,BROOKLYN,1166.0,39.0
645,BROOKLYN,221.0,6.0
646,BROOKLYN,305.0,11.0
647,BROOKLYN,305.0,4.0
648,BROOKLYN,305.0,7.0
649,BROOKLYN,305.0,4.0
650,BROOKLYN,305.0,4.0
651,BROOKLYN,305.0,6.0
652,BROOKLYN,507.0,50.0
653,BROOKLYN,241.0,2.0
654,BROOKLYN,291.0,2.0
655,BROOKLYN,233.0,2.0
656,BROOKLYN,525.0,20.0
657,BROOKLYN,235.0,42.0
658,BROOKLYN,305.0,70.0
659,BROOKLYN,227.0,25.0
660,BROOKLYN,205.0,33.0
661,BROOKLYN,1150.0,56.0
662,BROOKLYN,383.0,6.0
663,BROOKLYN,235.0,47.0
664,BROOKLYN,245.0,45.0
665,BROOKLYN,1126.0,74.0
666,BROOKLYN,377.0,46.0
667,BROOKLYN,511.0,31.0
668,BROOKLYN,82.0,23.0
669,BROOKLYN,261.0,52.0
670,BROOKLYN,303.0,89.0
671,BROOKLYN,900.0,75.0
672,BROOKLYN,39.0,194.0
673,BROOKLYN,221.0,65.0
674,BROOKLYN,385.0,4.0
675,BROOKLYN,293.0,6.0
676,BROOKLYN,385.0,3.0
677,BROOKLYN,383.0,6.0
678,BROOKLYN,385.0,6.0
679,BROOKLYN,293.0,9.0
680,BROOKLYN,385.0,6.0
681,BROOKLYN,520.0,33.0
682,BROOKLYN,127.0,67.0
683,BROOKLYN,1130.0,106.0
684,BROOKLYN,35.0,76.0
685,BROOKLYN,35.0,3.0
686,BROOKLYN,1146.0,52.0
687,BROOKLYN,217.0,7.0
688,BROOKLYN,305.0,6.0
689,BROOKLYN,221.0,5.0
690,BROOKLYN,245.0,6.0
691,BROOKLYN,251.0,7.0
692,BROOKLYN,251.0,1.0
693,BROOKLYN,265.0,4.0
694,BROOKLYN,265.0,3.0
695,BROOKLYN,243.0,13.0
696,BROOKLYN,251.0,3.0
