,Statistics,Population Density (Per Sq. Mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's Degree or More,Median Household Income (In 2015 Inflation Adjusted Dollars),Per Capita Income (In 2015 Inflation Adjusted Dollars),Gini Index,Occupied,Median Year Structure Built,Median Value,Median Gross Rent,Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Foreign Born:,Population 25 Years and Over:,Housing Units:,Population for Whom Poverty Status Is Determined:,year
334,"Census Tract 237.03, Bronx County, New York",129090.0,5014.0,673.0,1138.0,137.0,2638.0,1162.0,309.0,"$27,128","$12,746",0.43,1434.0,1939.0,,"$1,147",3344.0,1640.0,2158.0,2740.0,1587.0,4984.0,2015
335,Unnamed: 336,,,0.134,0.22699999999999998,0.027000000000000003,0.526,0.424,0.113,,,,0.904,,,,0.6709999999999999,0.32899999999999996,0.43,,,,2015
336,"Census Tract 237.04, Bronx County, New York",142704.5,3717.0,245.0,951.0,19.0,2384.0,936.0,282.0,"$20,918","$11,199",0.48,1346.0,1939.0,,"$1,110",2471.0,1244.0,1650.0,2155.0,1346.0,3715.0,2015
337,Unnamed: 338,,,0.066,0.256,0.005,0.6409999999999999,0.434,0.131,,,,1.0,,,,0.665,0.335,0.444,,,,2015
338,"Census Tract 238, Bronx County, New York",19481.1,2567.0,682.0,497.0,104.0,1194.0,343.0,299.0,"$50,074","$17,870",0.41,775.0,1939.0,"$385,600","$1,433",1295.0,1272.0,711.0,1547.0,937.0,2567.0,2015
339,Unnamed: 340,,,0.266,0.19399999999999998,0.040999999999999995,0.465,0.222,0.193,,,,0.8270000000000001,,,,0.505,0.496,0.27699999999999997,,,,2015
340,"Census Tract 239, Bronx County, New York",121170.9,8282.0,685.0,1880.0,134.0,5397.0,1737.0,621.0,"$20,985","$12,525",0.52,2531.0,1939.0,"$329,200","$1,086",5299.0,2906.0,3743.0,4668.0,2652.0,8205.0,2015
341,Unnamed: 342,,,0.083,0.22699999999999998,0.016,0.652,0.37200000000000005,0.133,,,,0.9540000000000001,,,,0.6459999999999999,0.354,0.452,,,,2015
342,"Census Tract 240, Bronx County, New York",42920.4,3963.0,668.0,1044.0,31.0,2054.0,715.0,336.0,"$34,705","$16,222",0.42,1165.0,1939.0,"$425,600","$1,233",2427.0,1536.0,1442.0,2368.0,1327.0,3963.0,2015
343,Unnamed: 344,,,0.16899999999999998,0.263,0.008,0.518,0.302,0.142,,,,0.878,,,,0.612,0.38799999999999996,0.364,,,,2015
344,"Census Tract 241, Bronx County, New York",121763.1,6324.0,514.0,1985.0,92.0,3488.0,1164.0,374.0,"$23,856","$11,044",0.45,1803.0,1939.0,"$350,000","$1,062",4354.0,1829.0,2754.0,3485.0,2084.0,6183.0,2015
345,Unnamed: 346,,,0.081,0.314,0.015,0.552,0.33399999999999996,0.107,,,,0.865,,,,0.7040000000000001,0.29600000000000004,0.436,,,,2015
346,"Census Tract 243, Bronx County, New York",98346.8,5748.0,495.0,1647.0,373.0,3106.0,1087.0,191.0,"$19,669","$10,226",0.47,1922.0,1939.0,"$415,800",$958,4193.0,1463.0,1895.0,3381.0,2047.0,5656.0,2015
347,Unnamed: 348,,,0.086,0.287,0.065,0.54,0.322,0.057,,,,0.9390000000000001,,,,0.741,0.259,0.33,,,,2015
348,"Census Tract 244, Bronx County, New York",37975.1,2551.0,1120.0,184.0,94.0,1130.0,335.0,456.0,"$59,063","$24,849",0.39,826.0,1949.0,"$421,600","$1,317",518.0,2033.0,505.0,1617.0,871.0,2551.0,2015
349,Unnamed: 350,,,0.439,0.07200000000000001,0.037000000000000005,0.44299999999999995,0.207,0.282,,,,0.948,,,,0.203,0.797,0.198,,,,2015
350,"Census Tract 245.01, Bronx County, New York",120196.0,5162.0,562.0,1607.0,0.0,2876.0,964.0,267.0,"$24,864","$11,960",0.49,1574.0,1939.0,"$393,600","$1,006",3693.0,1458.0,2384.0,3040.0,1604.0,5151.0,2015
