,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index,log_pop,log_pop_density,log_h_unit,log_income,log_inc_p
1353,"Census Tract 542, Queens County, New York",27137.140000000003,5700.2,0.2033278403521722,0.25765148892451495,3.568040686403085e-05,0.14037645877850452,0.16784427095956556,0.20849936114908285,77119.6,23340.0,0.382,0.9701992261439587,12.963320751496642,7.211409120943617,0.2632219641846465,0.7367780358153535,0.5791824274884605,2012.2,36081054200.0,1539.0,542.0,0.0,0.0,0.0,78.0,0.9467403429063689,8.648256540926381,10.208658548322417,7.338888133838879,11.253112742548984,10.057923905840546
1354,"Census Tract 544, Kings County, New York",49733.45,3615.0,0.8331491242042299,0.020212155337894524,0.00023055493418541403,0.01591670206058832,0.13259743418231829,0.607428052762615,62417.0,26441.5,0.44,1.0,13.152213399373213,6.957972995142755,0.3095360141986968,0.6904639858013032,0.40766109184016575,2009.5,36047054400.0,1344.0,544.0,0.0,0.0,0.0,76.0,0.2987075096079239,8.192847134592865,10.81443302392544,7.203405521083095,11.041592953151035,10.182690024580314
1355,"Census Tract 545, Kings County, New York",113695.54000000001,7318.4,0.8476258982364164,0.08018374844964735,0.00011650812574357731,0.057438425177118356,0.3832962952591986,0.07036903503214136,17742.4,10302.4,0.5439999999999999,0.964734767153903,13.169743023451103,5.961005339623274,0.7973320953369568,0.20266790466304302,0.12504735626422744,2012.2,36047054500.0,2419.0,545.0,0.0,0.0,0.0,48.2,0.5029651730801012,8.898147003828463,11.641279452935846,7.791109510610028,9.783712534198951,9.240132156783918
1356,"Census Tract 545, Queens County, New York",89298.86,3926.0,0.6833296699070404,0.006313991441992866,0.00017470910071195359,0.15581236087395886,0.30794311787434775,0.13466045813219316,47056.4,18844.2,0.404,0.9483194739903521,13.139259825064059,7.050989447068045,0.48093381900856513,0.5190661809914348,0.4977362313876301,2012.2,36081054500.0,1346.0,545.0,0.0,0.0,0.0,78.0,0.576367502679058,8.275376374836407,11.399744000825658,7.204892510204673,10.759102161267677,9.843960453221474
1357,"Census Tract 546, Kings County, New York",62694.219999999994,4368.8,0.9006215012498201,0.031615148668975884,0.00020612499753073474,0.010219953912071054,0.10837402450559405,0.4252746543919921,31893.0,23055.8,0.538,0.935776133577391,13.326739924979115,7.007781593049262,0.43985885886092435,0.5601411411390756,0.49736327147415127,2012.2,36047054600.0,1999.0,546.0,0.0,0.0,0.0,75.6,0.24493962851215842,8.382243650837944,11.046024537363738,7.6004023345004,10.370141828956715,10.045672643670104
1358,"Census Tract 547, Kings County, New York",80935.76000000001,5008.4,0.841276939376695,0.062452063167637586,0.00016807575758465016,0.05136407398757723,0.2774768353837468,0.2817596308779347,33991.6,15446.2,0.4880000000000001,0.91826137308142,13.16488632448422,6.9440872082295275,0.6822902799258884,0.31770972007411163,0.18472503847758664,2012.2,36047054700.0,1676.0,547.0,145.0,0.08651551312649165,0.10005034442532543,38.2,0.4632505315981256,8.518871781794793,11.301411032575409,7.424165281042028,10.43386871425071,9.645118297381519
1359,"Census Tract 547, Queens County, New York",96029.28,4850.8,0.6874674537613454,0.028118499850900307,0.00014186661208112988,0.14595697334143115,0.3557479900171757,0.1468322091742357,49034.4,17947.0,0.4,0.8959590460781348,13.053656179394538,7.146772179452637,0.5068221509239095,0.49317784907609064,0.5124480031479397,2012.2,36081054700.0,1547.0,547.0,0.0,0.0,0.0,76.2,0.6336732931434916,8.486898918782638,11.472408423946929,7.344072850573066,10.800277371593712,9.795178249029277
1360,"Census Tract 548, Kings County, New York",34534.166666666664,2309.6666666666665,0.88783910611832,0.010622506188781659,0.0003868611520941575,0.00043410631069929796,0.14407831032191684,0.4587816082437664,60841.0,29361.333333333332,0.49666666666666665,0.9550269502671278,13.488394416267086,7.089521125842369,0.37635272996114827,0.6236472700388518,0.3227210227339827,2014.0,36047054800.0,799.0,548.0,0.0,0.0,0.0,78.0,0.1574866253732121,7.744858492959271,10.449704451122386,6.683360945766275,11.016019182793048,10.287433894957973
1361,"Census Tract 548, Queens County, New York",28802.22,2508.4,0.11875145797988407,0.33030100564683823,4.7343999828986094e-05,0.12569123805009885,0.1481087812010702,0.2791629148252913,82248.2,30068.8,0.41600000000000004,0.9780846910530304,13.00272361910478,7.134253198108921,0.18876058300015508,0.8112394169998449,0.612042418617884,2012.2,36081054800.0,650.0,548.0,0.0,0.0,0.0,76.6,0.8621373970738884,7.827400378668866,10.268207746486603,6.476972362889683,11.317496783889668,10.311243368302337
1362,"Census Tract 549, Kings County, New York",43670.78,3219.2,0.7888446612977694,0.014053486264092571,0.0002458036701621379,0.09144302673259236,0.11567817647259222,0.5091047007768272,61122.6,35701.4,0.508,0.9361388992984271,13.633892753478563,7.539239799149976,0.49563674468815566,0.5043632553118443,0.1837646468969138,2012.2,36047054900.0,1463.0,549.0,57.0,0.03896103896103896,0.046046893256974475,75.0,0.4612867640775872,8.076888160465366,10.684434507552064,7.288244401020124,11.02063696220265,10.48294518268509
