,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2012 Inflation Adjusted Dollars),Per capita income (In 2012 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
125,Unnamed: 126,,,0.24,0.272,0.034,0.414,0.17300000000000001,0.22899999999999998,,,,0.895,,,,0.363,0.637,0.138,,,,2012
126,"Census Tract 110, New York city (part), Bronx borough, Bronx County, New York",187.7,150.0,18.0,0.0,0.0,132.0,9.0,12.0,"$44,125","$21,289",0.22,52.0,1975.0,,$984,9.0,141.0,58.0,102.0,63.0,150.0,2012
127,Unnamed: 128,,,0.12,0.0,0.0,0.88,0.08800000000000001,0.11800000000000001,,,,0.825,,,,0.06,0.94,0.387,,,,2012
128,"Census Tract 115.02, New York city (part), Bronx borough, Bronx County, New York",34442.4,4551.0,1933.0,1500.0,51.0,922.0,979.0,188.0,"$18,505","$9,328",0.44,1445.0,1973.0,"$195,000",$916,3519.0,871.0,1293.0,2394.0,1562.0,4390.0,2012
129,Unnamed: 130,,,0.425,0.33,0.011000000000000001,0.203,0.409,0.079,,,,0.925,,,,0.802,0.198,0.284,,,,2012
130,"Census Tract 117, New York city (part), Bronx borough, Bronx County, New York",3014.9,1594.0,817.0,517.0,19.0,231.0,371.0,134.0,"$14,600","$13,437",0.57,570.0,1958.0,"$9,999","$1,005",1009.0,585.0,400.0,972.0,620.0,1594.0,2012
131,Unnamed: 132,,,0.513,0.324,0.012,0.145,0.382,0.138,,,,0.919,,,,0.633,0.36700000000000005,0.251,,,,2012
132,"Census Tract 118, New York city (part), Bronx borough, Bronx County, New York",12286.9,5130.0,4151.0,82.0,223.0,576.0,421.0,991.0,"$74,325","$31,105",0.41,1694.0,1953.0,"$442,700","$1,177",628.0,3633.0,827.0,3088.0,1763.0,4261.0,2012
133,Unnamed: 134,,,0.809,0.016,0.044000000000000004,0.11199999999999999,0.136,0.321,,,,0.961,,,,0.147,0.853,0.161,,,,2012
134,"Census Tract 119, New York city (part), Bronx borough, Bronx County, New York",89443.1,5721.0,574.0,1784.0,0.0,3071.0,1397.0,285.0,"$23,895","$12,774",0.51,1939.0,1949.0,"$146,600",$956,4186.0,1535.0,1771.0,3189.0,2065.0,5721.0,2012
135,Unnamed: 136,,,0.1,0.312,0.0,0.537,0.43799999999999994,0.08900000000000001,,,,0.9390000000000001,,,,0.732,0.268,0.31,,,,2012
136,"Census Tract 121.01, New York city (part), Bronx borough, Bronx County, New York",66396.3,2983.0,402.0,665.0,8.0,1703.0,665.0,170.0,"$35,165","$14,313",0.44,915.0,1959.0,"$447,400","$1,019",1929.0,1045.0,1009.0,1474.0,1033.0,2974.0,2012
137,Unnamed: 138,,,0.135,0.223,0.003,0.5710000000000001,0.451,0.115,,,,0.8859999999999999,,,,0.649,0.35100000000000003,0.33799999999999997,,,,2012
138,"Census Tract 121.02, New York city (part), Bronx borough, Bronx County, New York",74553.3,1462.0,189.0,403.0,14.0,856.0,314.0,95.0,"$12,688","$8,961",0.5,515.0,1956.0,,$767,1151.0,311.0,272.0,706.0,532.0,1462.0,2012
139,Unnamed: 140,,,0.129,0.276,0.01,0.586,0.445,0.135,,,,0.968,,,,0.787,0.213,0.18600000000000003,,,,2012
140,"Census Tract 123, New York city (part), Bronx borough, Bronx County, New York",31883.7,3582.0,368.0,991.0,0.0,2057.0,963.0,328.0,"$16,500","$9,932",0.49,1276.0,1983.0,"$357,500",$642,2793.0,754.0,1188.0,2072.0,1445.0,3547.0,2012
141,Unnamed: 142,,,0.10300000000000001,0.27699999999999997,0.0,0.574,0.465,0.158,,,,0.883,,,,0.787,0.213,0.332,,,,2012
142,"Census Tract 125, New York city (part), Bronx borough, Bronx County, New York",58185.8,3792.0,388.0,1578.0,0.0,1547.0,560.0,337.0,"$21,790","$12,052",0.48,1177.0,1996.0,"$398,600","$1,036",2611.0,1179.0,869.0,1775.0,1292.0,3790.0,2012
143,Unnamed: 144,,,0.102,0.41600000000000004,0.0,0.408,0.316,0.19,,,,0.9109999999999999,,,,0.6890000000000001,0.311,0.22899999999999998,,,,2012
144,"Census Tract 127.01, New York city (part), Bronx borough, Bronx County, New York",48287.4,2008.0,465.0,627.0,49.0,760.0,508.0,162.0,"$14,870","$12,046",0.49,801.0,1953.0,"$307,400",$556,1580.0,428.0,462.0,1229.0,830.0,2008.0,2012
