,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index
3932,"Census Tract 573, Kings County, New York",35001.1,2299.0,0.8425402348847325,0.08481948673336233,0.00036648118089810025,0.01826881252718573,0.1304818624796968,0.4526258798050893,"$60,781","$35,823",0.43,0.8341584158415841,"$730,400","$1,449",0.3066550674206177,0.6933449325793823,0.3431926924749891,2014,36047057300,1192,573.0,0.0,0.0,0.0,78.0,0.42964630682976074
3933,"Census Tract 573, Kings County, New York",34940.2,2295.0,0.8967320261437909,0.04008714596949891,0.0003907329089951159,0.013071895424836602,0.09164420485175202,0.4436657681940701,"$59,519","$40,591",0.48,0.8747993579454254,"$739,700","$1,371",0.2806100217864924,0.7193899782135076,0.3625272331154684,2013,36047057300,1192,573.0,0.0,0.0,0.0,78.0,0.2864533685737195
3934,"Census Tract 573, Kings County, New York",31743.0,2085.0,0.9338129496402876,0.004796163069544364,0.000447871918292704,0.0052757793764988,0.13560237709346298,0.2955159373311723,"$50,625","$40,499",0.47,0.9115259740259741,"$725,500","$1,043",0.2038369304556355,0.7961630695443646,0.5175059952038369,2010,36047057300,1192,573.0,0.0,0.0,0.0,78.0,0.12068096234136744
3935,"Census Tract 573, Kings County, New York",30689.3,2008.0,0.9362549800796812,0.004482071713147411,0.0004662624402787257,0.0034860557768924307,0.12400455062571104,0.3026166097838453,"$49,464","$38,883",0.5,0.8959044368600683,"$695,500","$1,129",0.226593625498008,0.773406374501992,0.4900398406374502,2009,36047057300,1192,573.0,0.0,0.0,0.0,78.0,0.10921039216415228
3936,"Census Tract 574, Kings County, New York",46869.1,2881.0,0.5060742797639708,0.015619576535925024,0.0001756592432363661,0.017007983339118363,0.17704918032786884,0.3784543325526932,"$83,295","$34,023",0.44,0.9688412852969815,"$525,900",$989,0.26657410621312044,0.7334258937868795,0.5525859076709476,2015,36047057400,1027,574.0,0.0,0.0,0.0,78.0,0.48044902257539446
3937,"Census Tract 574, Kings County, New York",47861.5,2942.0,0.5186947654656696,0.012916383412644459,0.0001763068543391127,0.017675050985723997,0.19633273703041146,0.35241502683363146,"$90,263","$33,402",0.41,0.9502347417840376,"$503,200",$989,0.2559483344663494,0.7440516655336505,0.5435078178110129,2014,36047057400,1027,574.0,0.0,0.0,0.0,78.0,0.46952185113525186
3938,"Census Tract 574, Kings County, New York",46234.7,2842.0,0.5862068965517241,0.00211118930330753,0.0002062656215875173,0.02216748768472906,0.15735567970204842,0.3910614525139665,"$97,765","$35,899",0.35,0.9325842696629212,"$526,100","$1,349",0.1414496833216045,0.8585503166783955,0.5457424349049965,2013,36047057400,1027,574.0,0.0,0.0,0.0,78.0,0.41227807871584127
3942,"Census Tract 575, Kings County, New York",50798.2,3673.0,0.7331881295943371,0.0008167710318540703,0.00019961560838397416,0.1328614211815954,0.08472269479414768,0.5981626403538619,"$63,026","$39,041",0.41,0.8647900323027227,"$707,800","$1,752",0.3079226790089845,0.6920773209910155,0.4004900626191125,2014,36047057500,2185,575.0,0.0,0.0,0.0,78.0,0.503228970728018
3943,"Census Tract 575, Kings County, New York",52706.7,3811.0,0.7116242456048282,0.0015743899239044868,0.00018672900698106222,0.13749672002099186,0.09195804195804196,0.4737762237762238,"$56,109","$31,012",0.45,0.8190433212996391,"$814,700","$1,553",0.4035686171608502,0.5964313828391499,0.458934662818158,2013,36047057500,2185,575.0,0.0,0.0,0.0,78.0,0.526677302950143
3944,"Census Tract 575, Kings County, New York",48433.2,3502.0,0.7458595088520845,0.011422044545973727,0.00021298101337866493,0.0442604226156482,0.08326817826426898,0.41790461297888976,"$58,409","$28,375",0.38,0.7483059051306873,"$701,900","$1,148",0.32410051399200457,0.6758994860079954,0.4797258709308966,2010,36047057500,2185,575.0,0.0,0.0,0.0,78.0,0.4095709834442831
