,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
1851,168140.0,12110,10.0,85365.8,13.88,64.16747818220519,76.0,67.4,1.82865989653532,10025,445.2,245.1,5.2,114,12.032552244689288,9.401786836547139,11.354700831183708,81.6444678413733,64.2444678413733
1852,77465.0,7266,14.0,50706.0,10.66,64.16747818220519,89.0,69.6,1.8426092396105618,10025,261.5,118.4,4.5,100,11.257581500430392,8.890961212781146,10.833799525772537,87.23005309416155,67.63005309416155
1853,61779.0,4880,15.0,1295.2,12.66,64.16747818220519,56.0,99.5,1.9978230807457256,10025,399.4,66.4,3.7,94,11.031318779873457,8.492900498847193,7.166420402363426,79.31505171803289,29.81505171803289
1854,242330.0,16248,16.0,5392.5,14.91,64.16747818220519,61.0,84.5,1.9268567089496924,10025,1018.5,547.0,8.0,90,12.39805571259476,9.695725103260221,8.592764378263311,88.2096934749417,53.7096934749417
1856,114330.0,10042,15.0,36655.7,11.39,64.16747818220519,59.0,81.5,1.9111576087399769,10025,544.0,136.0,3.9,91,11.646844282536016,9.21453157659465,10.509324220460746,81.53069720550502,50.03069720550502
1857,135625.0,15981,13.0,50341.3,8.41,64.16747818220519,100.0,41.7,1.6201360549737576,10025,263.7,95.7,2.3,117,11.81764900327686,9.679155795585109,10.826581092749983,75.16058956995931,83.46058956995931
1861,120542.0,17270,15.0,36715.4,6.98,64.16747818220519,90.0,65.2,1.81424759573192,10025,417.0,164.5,4.3,92,11.699753518902044,9.756726171140725,10.510951564556038,84.55937713552105,69.35937713552104
1864,249756.0,20449,16.0,3106.8,12.21,64.16747818220519,81.0,63.8,1.8048206787211625,10025,835.7,340.9,4.8,91,12.428239720246252,9.925689260519814,8.041348536545492,73.28130044676489,59.48130044676489
1865,106149.0,10092,16.0,61870.8,10.52,64.16747818220519,95.0,57.7,1.7611758131557314,10025,324.7,115.7,3.1,89,11.572599046455846,9.219498309760949,11.032803618779244,77.76125084813248,70.06125084813247
1866,108052.0,10092,16.0,62413.3,10.71,64.16747818220519,94.0,58.7,1.7686381012476144,10025,333.0,113.1,3.0,89,11.590367871712823,9.219498309760949,11.04153367267184,77.12376510229282,68.42376510229282
1869,197170.0,16757,15.0,19025.4,11.77,64.16747818220519,99.0,52.4,1.7193312869837267,10025,565.3,231.0,3.8,88,12.191821579760314,9.726571360400724,9.853530207476014,71.62872674761078,69.22872674761078
1870,100961.0,8207,17.0,26175.5,12.3,64.16747818220519,98.0,41.0,1.6127838567197357,10025,139.0,146.8,4.7,87,11.522489582638823,9.012742727629712,10.172579137753045,79.71534031636668,88.71534031636668
1873,161502.0,17104,12.0,85646.0,9.44,64.16747818220519,1.0,99.9,1.9995654882259823,10025,454.9,749.2,15.0,117,11.992272805469097,9.747067633264827,11.357977800968772,126.3235484587357,76.4235484587357
1874,107102.0,14184,12.0,79249.9,6.63,64.16747818220519,61.0,104.3,2.018284308426531,10025,417.3,162.0,6.0,108,11.581536930397801,9.559869847754044,11.280361429909078,95.79448132336836,41.49448132336836
