,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
2664,"Census Tract 225, New York County, New York",101730.7,10147.0,3494.0,3320.0,37.0,1995.0,1982.0,2158.0,"$45,429","$22,491",0.45,3442.0,1939.0,"$78,000",$980,4384.0,5752.0,3855.0,7504.0,3858.0,10136.0,2013
2665,Unnamed: 2666,,,0.344,0.327,0.004,0.19699999999999998,0.264,0.28800000000000003,,,,0.892,,,,0.433,0.568,0.38,,,,2013
2666,"Census Tract 226, New York County, New York",72970.3,4310.0,505.0,3048.0,210.0,382.0,465.0,1192.0,"$35,967","$29,161",0.58,1699.0,1939.0,"$1,000,001",$941,2388.0,1899.0,831.0,2928.0,2316.0,4287.0,2013
2667,Unnamed: 2668,,,0.11699999999999999,0.7070000000000001,0.049,0.08900000000000001,0.159,0.40700000000000003,,,,0.7340000000000001,,,,0.557,0.44299999999999995,0.193,,,,2013
2668,"Census Tract 227, New York County, New York",95435.4,5553.0,965.0,3247.0,199.0,515.0,649.0,1736.0,"$45,375","$37,791",0.62,2234.0,1939.0,"$1,000,001","$1,142",2636.0,2855.0,1132.0,3811.0,2537.0,5491.0,2013
2669,Unnamed: 2670,,,0.174,0.585,0.036000000000000004,0.09300000000000001,0.17,0.456,,,,0.8809999999999999,,,,0.48,0.52,0.204,,,,2013
2670,"Census Tract 228, New York County, New York",75735.0,5282.0,993.0,3386.0,169.0,262.0,447.0,1384.0,"$39,167","$29,683",0.54,2326.0,1939.0,"$580,900",$957,2001.0,3281.0,857.0,3704.0,2729.0,5282.0,2013
2671,Unnamed: 2672,,,0.188,0.6409999999999999,0.032,0.05,0.121,0.374,,,,0.852,,,,0.379,0.621,0.162,,,,2013
2672,"Census Tract 229, New York County, New York",102286.0,8538.0,2212.0,3007.0,136.0,1616.0,1763.0,1530.0,"$33,060","$21,056",0.55,2781.0,1939.0,"$301,600","$1,091",4887.0,3519.0,3726.0,5919.0,3091.0,8406.0,2013
2673,Unnamed: 2674,,,0.259,0.35200000000000004,0.016,0.18899999999999997,0.298,0.259,,,,0.9,,,,0.581,0.419,0.436,,,,2013
2674,"Census Tract 230, New York County, New York",143275.2,9608.0,1572.0,6116.0,195.0,517.0,2243.0,1564.0,"$34,522","$25,390",0.57,3649.0,1939.0,"$658,300",$820,4991.0,4596.0,2305.0,6680.0,4026.0,9587.0,2013
2675,Unnamed: 2676,,,0.16399999999999998,0.637,0.02,0.054000000000000006,0.336,0.23399999999999999,,,,0.9059999999999999,,,,0.521,0.479,0.24,,,,2013
